PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	59	27	11	0
Pct 1101	VBM	1101	1	485	169	34.85	98	65	7	0
Pct 1102	Election Day	1102	1	881	194	22.02	128	60	6	0
Pct 1102	VBM	1102	1	881	287	32.58	178	98	10	2
Pct 1103	Election Day	1103	1	844	166	19.67	107	48	11	0
Pct 1103	VBM	1103	1	844	299	35.43	179	107	12	1
Pct 1104/1105	Election Day	1104	1	838	161	19.21	90	63	9	0
Pct 1104/1105	VBM	1104	1	838	235	28.04	166	55	17	0
Pct 1106	Election Day	1106	1	696	116	16.67	68	45	3	0
Pct 1106	VBM	1106	1	696	216	31.03	117	84	16	0
Pct 1107	Election Day	1107	1	654	109	16.67	66	33	11	0
Pct 1107	VBM	1107	1	654	214	32.72	129	70	14	1
Pct 1108	Election Day	1108	1	830	155	18.67	104	41	15	0
Pct 1108	VBM	1108	1	830	278	33.49	183	89	7	0
Pct 1109	Election Day	1109	1	706	117	16.57	82	26	9	0
Pct 1109	VBM	1109	1	706	247	34.99	137	104	11	0
Pct 1111	Election Day	1111	1	860	118	13.72	74	38	5	1
Pct 1111	VBM	1111	1	860	263	30.58	158	88	16	1
Pct 1112	Election Day	1112	1	641	90	14.04	64	21	6	0
Pct 1112	VBM	1112	1	641	207	32.29	123	78	9	0
Pct 1113	Election Day	1113	1	625	73	11.68	43	24	6	0
Pct 1113	VBM	1113	1	625	235	37.60	151	75	9	0
Pct 1114	Election Day	1114	1	812	157	19.33	101	42	14	0
Pct 1114	VBM	1114	1	812	228	28.08	139	78	10	1
Pct 1115	Election Day	1115	1	766	101	13.19	61	32	8	0
Pct 1115	VBM	1115	1	766	255	33.29	152	92	12	0
Pct 1116	Election Day	1116	1	749	116	15.49	74	36	6	0
Pct 1116	VBM	1116	1	749	230	30.71	140	79	11	0
Pct 1117	Election Day	1117	1	732	120	16.39	67	40	13	0
Pct 1117	VBM	1117	1	732	213	29.10	129	67	17	0
Pct 1118	Election Day	1118	1	869	148	17.03	98	36	13	0
Pct 1118	VBM	1118	1	869	286	32.91	189	93	6	0
Pct 1119	Election Day	1119	1	684	109	15.94	76	29	7	0
Pct 1119	VBM	1119	1	684	218	31.87	149	65	7	0
Pct 1121	Election Day	1121	1	608	101	16.61	55	40	6	0
Pct 1121	VBM	1121	1	608	198	32.57	116	75	7	0
Pct 1122	Election Day	1122	1	541	70	12.94	42	27	1	0
Pct 1122	VBM	1122	1	541	169	31.24	96	68	6	0
Pct 1123	Election Day	1123	1	809	121	14.96	63	48	11	0
Pct 1123	VBM	1123	1	809	192	23.73	119	65	9	0
Pct 1124	Election Day	1124	1	684	115	16.81	72	31	12	0
Pct 1124	VBM	1124	1	684	159	23.25	82	71	5	1
Pct 1125	Election Day	1125	1	865	58	6.71	36	16	7	0
Pct 1125	VBM	1125	1	865	268	30.98	173	83	10	0
Pct 1126	Election Day	1126	1	804	92	11.44	64	24	4	0
Pct 1126	VBM	1126	1	804	224	27.86	140	70	13	0
Pct 1127	Election Day	1127	1	788	131	16.62	81	45	6	0
Pct 1127	VBM	1127	1	788	235	29.82	129	102	6	0
Pct 1128	Election Day	1128	1	732	99	13.52	55	36	7	0
Pct 1128	VBM	1128	1	732	215	29.37	120	79	16	0
Pct 1129	Election Day	1129	1	797	132	16.56	92	37	5	0
Pct 1129	VBM	1129	1	797	236	29.61	141	86	9	0
Pct 1131	Election Day	1131	1	715	67	9.37	43	17	7	0
Pct 1131	VBM	1131	1	715	245	34.27	141	95	9	0
Pct 1132	Election Day	1132	1	835	135	16.17	71	52	11	0
Pct 1132	VBM	1132	1	835	267	31.98	158	100	9	0
Pct 1133	Election Day	1133	1	768	82	10.68	40	37	5	0
Pct 1133	VBM	1133	1	768	274	35.68	161	102	10	0
Pct 1134	Election Day	1134	1	693	123	17.75	84	33	9	0
Pct 1134	VBM	1134	1	693	215	31.02	127	79	10	0
Pct 1135	Election Day	1135	1	454	59	13.00	28	27	3	0
Pct 1135	VBM	1135	1	454	180	39.65	105	68	7	0
Pct 1136	Election Day	1136	1	714	87	12.18	56	28	4	0
Pct 1136	VBM	1136	1	714	242	33.89	127	109	6	0
Pct 1141	Election Day	1141	1	868	125	14.40	84	35	6	0
Pct 1141	VBM	1141	1	868	314	36.18	191	117	11	0
Pct 1142	Election Day	1142	1	802	127	15.84	86	29	12	0
Pct 1142	VBM	1142	1	802	242	30.17	142	78	20	0
Pct 1143	Election Day	1143	1	849	166	19.55	115	40	11	0
Pct 1143	VBM	1143	1	849	270	31.80	182	81	8	1
Pct 1144	Election Day	1144	1	777	156	20.08	103	43	9	1
Pct 1144	VBM	1144	1	777	244	31.40	145	89	7	1
Pct 1145	Election Day	1145	1	810	169	20.86	111	49	9	0
Pct 1145	VBM	1145	1	810	313	38.64	203	85	25	1
Pct 1146	Election Day	1146	1	845	133	15.74	89	38	6	0
Pct 1146	VBM	1146	1	845	304	35.98	188	102	16	0
Pct 1147	Election Day	1147	1	780	167	21.41	106	54	8	0
Pct 1147	VBM	1147	1	780	237	30.38	157	74	5	1
Pct 1148	Election Day	1148	1	798	153	19.17	101	45	7	0
Pct 1148	VBM	1148	1	798	251	31.45	146	93	14	0
Pct 1149	Election Day	1149	1	806	159	19.73	97	49	13	0
Pct 1149	VBM	1149	1	806	265	32.88	161	94	11	0
Pct 1152	Election Day	1152	1	775	142	18.32	77	53	12	0
Pct 1152	VBM	1152	1	775	266	34.32	167	93	7	0
Pct 1153	Election Day	1153	1	799	156	19.52	86	63	5	1
Pct 1153	VBM	1153	1	799	263	32.92	155	101	5	0
Pct 7001	Election Day	7001	1	625	132	21.12	102	26	4	0
Pct 7001	VBM	7001	1	625	190	30.40	138	41	10	0
Pct 7002	Election Day	7002	1	820	155	18.90	115	30	10	0
Pct 7002	VBM	7002	1	820	253	30.85	161	78	15	0
Pct 7003	Election Day	7003	1	789	219	27.76	146	59	14	0
Pct 7003	VBM	7003	1	789	292	37.01	213	62	16	0
Pct 7004	Election Day	7004	1	786	204	25.95	131	61	13	0
Pct 7004	VBM	7004	1	786	256	32.57	192	52	14	0
Pct 7005	Election Day	7005	1	770	237	30.78	174	47	16	0
Pct 7005	VBM	7005	1	770	257	33.38	181	66	11	0
Pct 7006	Election Day	7006	1	824	227	27.55	163	52	14	0
Pct 7006	VBM	7006	1	824	238	28.88	172	63	4	0
Pct 7007	Election Day	7007	1	873	226	25.89	154	52	19	0
Pct 7007	VBM	7007	1	873	306	35.05	209	80	16	0
Pct 7008	Election Day	7008	1	784	247	31.51	172	56	18	0
Pct 7008	VBM	7008	1	784	294	37.50	191	87	18	1
Pct 7009	Election Day	7009	1	809	160	19.78	107	39	16	0
Pct 7009	VBM	7009	1	809	276	34.12	190	81	9	0
Pct 7011	Election Day	7011	1	905	150	16.57	111	29	10	0
Pct 7011	VBM	7011	1	905	165	18.23	126	33	7	0
Pct 7012	Election Day	7012	1	903	261	28.90	183	66	10	1
Pct 7012	VBM	7012	1	903	292	32.34	203	73	15	0
Pct 7013	Election Day	7013	1	598	141	23.58	101	32	8	0
Pct 7013	VBM	7013	1	598	167	27.93	135	31	6	1
Pct 7014	Election Day	7014	1	934	228	24.41	181	38	10	0
Pct 7014	VBM	7014	1	934	277	29.66	214	60	9	0
Pct 7015 MB	Election Day	7015	1	69	0	0.00	0	0	0	0
Pct 7015 MB	VBM	7015	1	69	28	40.58	20	7	1	0
Pct 7016	Election Day	7016	1	816	128	15.69	88	25	15	0
Pct 7016	VBM	7016	1	816	190	23.28	135	46	11	0
Pct 7017	Election Day	7017	1	670	96	14.33	69	18	9	0
Pct 7017	VBM	7017	1	670	144	21.49	102	31	9	0
Pct 7018	Election Day	7018	1	849	118	13.90	83	33	5	0
Pct 7018	VBM	7018	1	849	315	37.10	212	95	15	0
Pct 7019	Election Day	7019	1	857	135	15.75	100	22	14	0
Pct 7019	VBM	7019	1	857	314	36.64	203	82	25	0
Pct 7021	Election Day	7021	1	852	139	16.31	102	23	14	0
Pct 7021	VBM	7021	1	852	214	25.12	153	55	9	0
Pct 7022	Election Day	7022	1	894	166	18.57	114	38	13	0
Pct 7022	VBM	7022	1	894	247	27.63	188	42	22	0
Pct 7023	Election Day	7023	1	830	134	16.14	90	37	8	0
Pct 7023	VBM	7023	1	830	253	30.48	175	66	12	0
Pct 7024	Election Day	7024	1	274	24	8.76	17	2	4	0
Pct 7024	VBM	7024	1	274	22	8.03	15	5	2	0
Pct 7025	Election Day	7025	1	409	55	13.45	38	13	4	0
Pct 7025	VBM	7025	1	409	71	17.36	46	13	2	0
Pct 7026	Election Day	7026	1	861	98	11.38	63	28	7	0
