PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	46	38	13	0
Pct 1101	VBM	1101	1	485	169	34.85	87	75	8	0
Pct 1102	Election Day	1102	1	881	194	22.02	91	89	14	0
Pct 1102	VBM	1102	1	881	287	32.58	149	127	11	1
Pct 1103	Election Day	1103	1	844	166	19.67	77	77	11	1
Pct 1103	VBM	1103	1	844	299	35.43	171	117	11	0
Pct 1104/1105	Election Day	1104	1	838	161	19.21	71	75	15	1
Pct 1104/1105	VBM	1104	1	838	235	28.04	150	66	22	0
Pct 1106	Election Day	1106	1	696	116	16.67	69	44	3	0
Pct 1106	VBM	1106	1	696	216	31.03	116	84	17	0
Pct 1107	Election Day	1107	1	654	109	16.67	61	37	12	0
Pct 1107	VBM	1107	1	654	214	32.72	112	79	23	0
Pct 1108	Election Day	1108	1	830	155	18.67	97	49	14	0
Pct 1108	VBM	1108	1	830	278	33.49	165	103	11	0
Pct 1109	Election Day	1109	1	706	117	16.57	73	30	14	0
Pct 1109	VBM	1109	1	706	247	34.99	140	96	16	0
Pct 1111	Election Day	1111	1	860	118	13.72	58	50	10	0
Pct 1111	VBM	1111	1	860	263	30.58	142	97	24	0
Pct 1112	Election Day	1112	1	641	90	14.04	53	30	8	0
Pct 1112	VBM	1112	1	641	207	32.29	118	76	16	0
Pct 1113	Election Day	1113	1	625	73	11.68	39	29	5	0
Pct 1113	VBM	1113	1	625	235	37.60	142	80	13	0
Pct 1114	Election Day	1114	1	812	157	19.33	74	71	12	0
Pct 1114	VBM	1114	1	812	228	28.08	129	87	12	0
Pct 1115	Election Day	1115	1	766	101	13.19	57	39	5	0
Pct 1115	VBM	1115	1	766	255	33.29	150	93	13	0
Pct 1116	Election Day	1116	1	749	116	15.49	65	42	8	1
Pct 1116	VBM	1116	1	749	230	30.71	134	83	13	0
Pct 1117	Election Day	1117	1	732	120	16.39	61	49	10	0
Pct 1117	VBM	1117	1	732	213	29.10	110	83	18	2
Pct 1118	Election Day	1118	1	869	148	17.03	83	51	13	0
Pct 1118	VBM	1118	1	869	286	32.91	167	108	13	0
Pct 1119	Election Day	1119	1	684	109	15.94	64	38	10	0
Pct 1119	VBM	1119	1	684	218	31.87	123	90	8	0
Pct 1121	Election Day	1121	1	608	101	16.61	55	40	6	0
Pct 1121	VBM	1121	1	608	198	32.57	104	85	9	0
Pct 1122	Election Day	1122	1	541	70	12.94	31	33	6	0
Pct 1122	VBM	1122	1	541	169	31.24	92	70	8	0
Pct 1123	Election Day	1123	1	809	121	14.96	67	44	11	0
Pct 1123	VBM	1123	1	809	192	23.73	114	61	18	0
Pct 1124	Election Day	1124	1	684	115	16.81	73	30	12	0
Pct 1124	VBM	1124	1	684	159	23.25	79	70	10	0
Pct 1125	Election Day	1125	1	865	58	6.71	29	22	8	0
Pct 1125	VBM	1125	1	865	268	30.98	159	92	15	0
Pct 1126	Election Day	1126	1	804	92	11.44	51	33	8	0
Pct 1126	VBM	1126	1	804	224	27.86	133	79	11	0
Pct 1127	Election Day	1127	1	788	131	16.62	71	49	12	0
Pct 1127	VBM	1127	1	788	235	29.82	129	96	12	0
Pct 1128	Election Day	1128	1	732	99	13.52	46	45	7	0
Pct 1128	VBM	1128	1	732	215	29.37	111	87	17	0
Pct 1129	Election Day	1129	1	797	132	16.56	69	58	7	0
Pct 1129	VBM	1129	1	797	236	29.61	130	95	11	0
Pct 1131	Election Day	1131	1	715	67	9.37	40	20	7	0
Pct 1131	VBM	1131	1	715	245	34.27	119	109	17	0
Pct 1132	Election Day	1132	1	835	135	16.17	68	53	13	0
Pct 1132	VBM	1132	1	835	267	31.98	145	110	12	0
Pct 1133	Election Day	1133	1	768	82	10.68	39	34	9	0
Pct 1133	VBM	1133	1	768	274	35.68	153	110	10	0
Pct 1134	Election Day	1134	1	693	123	17.75	87	30	9	0
Pct 1134	VBM	1134	1	693	215	31.02	110	92	14	0
Pct 1135	Election Day	1135	1	454	59	13.00	31	26	1	0
Pct 1135	VBM	1135	1	454	180	39.65	93	82	5	0
Pct 1136	Election Day	1136	1	714	87	12.18	47	33	8	0
Pct 1136	VBM	1136	1	714	242	33.89	126	106	10	0
Pct 1141	Election Day	1141	1	868	125	14.40	76	44	5	0
Pct 1141	VBM	1141	1	868	314	36.18	174	135	10	0
Pct 1142	Election Day	1142	1	802	127	15.84	79	37	10	1
