PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	44	46	7	0
Pct 1101	VBM	1101	1	485	169	34.85	63	101	6	0
Pct 1102	Election Day	1102	1	881	194	22.02	87	97	10	0
Pct 1102	VBM	1102	1	881	287	32.58	109	172	6	1
Pct 1103	Election Day	1103	1	844	166	19.67	62	95	9	0
Pct 1103	VBM	1103	1	844	299	35.43	104	188	7	0
Pct 1104/1105	Election Day	1104	1	838	161	19.21	67	87	8	0
Pct 1104/1105	VBM	1104	1	838	235	28.04	100	126	12	0
Pct 1106	Election Day	1106	1	696	116	16.67	44	70	2	0
Pct 1106	VBM	1106	1	696	216	31.03	83	122	12	0
Pct 1107	Election Day	1107	1	654	109	16.67	43	60	7	0
Pct 1107	VBM	1107	1	654	214	32.72	81	121	11	1
Pct 1108	Election Day	1108	1	830	155	18.67	65	82	13	0
Pct 1108	VBM	1108	1	830	278	33.49	121	145	13	0
Pct 1109	Election Day	1109	1	706	117	16.57	56	50	11	0
Pct 1109	VBM	1109	1	706	247	34.99	91	149	12	0
Pct 1111	Election Day	1111	1	860	118	13.72	54	59	5	0
Pct 1111	VBM	1111	1	860	263	30.58	97	149	17	0
Pct 1112	Election Day	1112	1	641	90	14.04	38	48	5	0
Pct 1112	VBM	1112	1	641	207	32.29	79	124	7	0
Pct 1113	Election Day	1113	1	625	73	11.68	34	35	4	0
Pct 1113	VBM	1113	1	625	235	37.60	94	134	7	0
Pct 1114	Election Day	1114	1	812	157	19.33	60	86	11	0
Pct 1114	VBM	1114	1	812	228	28.08	86	136	6	0
Pct 1115	Election Day	1115	1	766	101	13.19	49	46	6	0
Pct 1115	VBM	1115	1	766	255	33.29	105	138	13	0
Pct 1116	Election Day	1116	1	749	116	15.49	55	55	6	0
Pct 1116	VBM	1116	1	749	230	30.71	87	132	11	0
Pct 1117	Election Day	1117	1	732	120	16.39	48	61	11	0
Pct 1117	VBM	1117	1	732	213	29.10	80	117	16	0
Pct 1118	Election Day	1118	1	869	148	17.03	57	77	13	0
Pct 1118	VBM	1118	1	869	286	32.91	105	169	13	1
Pct 1119	Election Day	1119	1	684	109	15.94	63	39	10	0
Pct 1119	VBM	1119	1	684	218	31.87	93	123	5	0
Pct 1121	Election Day	1121	1	608	101	16.61	43	51	7	0
Pct 1121	VBM	1121	1	608	198	32.57	76	118	4	0
Pct 1122	Election Day	1122	1	541	70	12.94	23	44	3	0
Pct 1122	VBM	1122	1	541	169	31.24	53	111	6	0
Pct 1123	Election Day	1123	1	809	121	14.96	43	66	13	0
Pct 1123	VBM	1123	1	809	192	23.73	81	103	9	0
Pct 1124	Election Day	1124	1	684	115	16.81	53	52	10	0
Pct 1124	VBM	1124	1	684	159	23.25	61	92	6	0
Pct 1125	Election Day	1125	1	865	58	6.71	24	28	7	0
Pct 1125	VBM	1125	1	865	268	30.98	94	162	10	0
Pct 1126	Election Day	1126	1	804	92	11.44	46	42	4	0
Pct 1126	VBM	1126	1	804	224	27.86	85	127	11	0
Pct 1127	Election Day	1127	1	788	131	16.62	56	73	3	0
Pct 1127	VBM	1127	1	788	235	29.82	64	164	9	0
Pct 1128	Election Day	1128	1	732	99	13.52	29	62	6	1
Pct 1128	VBM	1128	1	732	215	29.37	65	137	13	0
Pct 1129	Election Day	1129	1	797	132	16.56	55	73	6	0
Pct 1129	VBM	1129	1	797	236	29.61	87	139	9	1
