PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	74	21	2	0
Pct 1101	VBM	1101	1	485	169	34.85	122	48	1	0
Pct 1102	Election Day	1102	1	881	194	22.02	161	25	7	1
Pct 1102	VBM	1102	1	881	287	32.58	196	88	3	0
Pct 1103	Election Day	1103	1	844	166	19.67	129	34	2	0
Pct 1103	VBM	1103	1	844	299	35.43	209	83	5	0
Pct 1104/1105	Election Day	1104	1	838	161	19.21	108	46	8	0
Pct 1104/1105	VBM	1104	1	838	235	28.04	177	54	7	0
Pct 1106	Election Day	1106	1	696	116	16.67	84	30	2	0
Pct 1106	VBM	1106	1	696	216	31.03	142	72	3	0
Pct 1107	Election Day	1107	1	654	109	16.67	94	14	2	0
Pct 1107	VBM	1107	1	654	214	32.72	153	58	1	0
Pct 1108	Election Day	1108	1	830	155	18.67	135	18	5	0
Pct 1108	VBM	1108	1	830	278	33.49	212	62	6	0
Pct 1109	Election Day	1109	1	706	117	16.57	96	16	5	0
Pct 1109	VBM	1109	1	706	247	34.99	155	85	10	1
Pct 1111	Election Day	1111	1	860	118	13.72	85	29	4	0
Pct 1111	VBM	1111	1	860	263	30.58	186	71	7	0
Pct 1112	Election Day	1112	1	641	90	14.04	77	11	3	0
Pct 1112	VBM	1112	1	641	207	32.29	140	55	14	0
Pct 1113	Election Day	1113	1	625	73	11.68	57	13	2	0
Pct 1113	VBM	1113	1	625	235	37.60	159	68	7	0
Pct 1114	Election Day	1114	1	812	157	19.33	109	40	5	1
Pct 1114	VBM	1114	1	812	228	28.08	175	45	8	0
Pct 1115	Election Day	1115	1	766	101	13.19	81	17	3	0
Pct 1115	VBM	1115	1	766	255	33.29	164	83	7	1
Pct 1116	Election Day	1116	1	749	116	15.49	96	16	4	0
Pct 1116	VBM	1116	1	749	230	30.71	178	48	4	0
Pct 1117	Election Day	1117	1	732	120	16.39	100	19	1	0
Pct 1117	VBM	1117	1	732	213	29.10	168	40	5	0
Pct 1118	Election Day	1118	1	869	148	17.03	122	19	4	0
Pct 1118	VBM	1118	1	869	286	32.91	197	83	9	0
Pct 1119	Election Day	1119	1	684	109	15.94	101	6	4	0
Pct 1119	VBM	1119	1	684	218	31.87	169	46	4	0
Pct 1121	Election Day	1121	1	608	101	16.61	74	23	5	0
Pct 1121	VBM	1121	1	608	198	32.57	130	61	6	0
Pct 1122	Election Day	1122	1	541	70	12.94	49	20	1	0
Pct 1122	VBM	1122	1	541	169	31.24	94	73	4	0
Pct 1123	Election Day	1123	1	809	121	14.96	94	22	3	0
Pct 1123	VBM	1123	1	809	192	23.73	143	38	14	0
Pct 1124	Election Day	1124	1	684	115	16.81	89	21	5	0
Pct 1124	VBM	1124	1	684	159	23.25	131	26	2	0
Pct 1125	Election Day	1125	1	865	58	6.71	47	9	3	0
Pct 1125	VBM	1125	1	865	268	30.98	188	69	10	0
Pct 1126	Election Day	1126	1	804	92	11.44	74	16	2	0
Pct 1126	VBM	1126	1	804	224	27.86	163	58	3	0
Pct 1127	Election Day	1127	1	788	131	16.62	94	31	5	0
