PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	51	35	11	0
Pct 1101	VBM	1101	1	485	169	34.85	90	80	1	0
Pct 1102	Election Day	1102	1	881	194	22.02	131	53	10	0
Pct 1102	VBM	1102	1	881	287	32.58	179	101	7	0
Pct 1103	Election Day	1103	1	844	166	19.67	105	54	6	0
Pct 1103	VBM	1103	1	844	299	35.43	180	105	12	0
Pct 1104/1105	Election Day	1104	1	838	161	19.21	102	53	7	0
Pct 1104/1105	VBM	1104	1	838	235	28.04	174	50	14	0
Pct 1106	Election Day	1106	1	696	116	16.67	75	37	4	0
Pct 1106	VBM	1106	1	696	216	31.03	121	88	8	0
Pct 1107	Election Day	1107	1	654	109	16.67	83	22	5	0
Pct 1107	VBM	1107	1	654	214	32.72	125	76	10	1
Pct 1108	Election Day	1108	1	830	155	18.67	114	34	10	0
Pct 1108	VBM	1108	1	830	278	33.49	188	86	6	0
Pct 1109	Election Day	1109	1	706	117	16.57	78	30	9	0
Pct 1109	VBM	1109	1	706	247	34.99	153	87	11	0
Pct 1111	Election Day	1111	1	860	118	13.72	73	36	9	0
Pct 1111	VBM	1111	1	860	263	30.58	173	78	13	0
Pct 1112	Election Day	1112	1	641	90	14.04	56	27	8	0
Pct 1112	VBM	1112	1	641	207	32.29	141	56	12	0
Pct 1113	Election Day	1113	1	625	73	11.68	47	19	6	0
Pct 1113	VBM	1113	1	625	235	37.60	143	84	7	0
Pct 1114	Election Day	1114	1	812	157	19.33	100	44	11	0
Pct 1114	VBM	1114	1	812	228	28.08	144	70	14	0
Pct 1115	Election Day	1115	1	766	101	13.19	63	32	6	0
Pct 1115	VBM	1115	1	766	255	33.29	166	82	7	0
Pct 1116	Election Day	1116	1	749	116	15.49	83	27	6	0
Pct 1116	VBM	1116	1	749	230	30.71	156	67	7	0
Pct 1117	Election Day	1117	1	732	120	16.39	87	30	3	0
Pct 1117	VBM	1117	1	732	213	29.10	146	55	12	0
Pct 1118	Election Day	1118	1	869	148	17.03	90	45	10	0
Pct 1118	VBM	1118	1	869	286	32.91	181	95	13	0
Pct 1119	Election Day	1119	1	684	109	15.94	86	19	6	0
Pct 1119	VBM	1119	1	684	218	31.87	148	66	5	0
Pct 1121	Election Day	1121	1	608	101	16.61	59	38	5	0
Pct 1121	VBM	1121	1	608	198	32.57	109	76	12	0
Pct 1122	Election Day	1122	1	541	70	12.94	38	29	3	0
Pct 1122	VBM	1122	1	541	169	31.24	93	70	8	0
Pct 1123	Election Day	1123	1	809	121	14.96	88	25	6	0
Pct 1123	VBM	1123	1	809	192	23.73	128	47	20	0
Pct 1124	Election Day	1124	1	684	115	16.81	82	26	7	0
Pct 1124	VBM	1124	1	684	159	23.25	98	59	2	0
Pct 1125	Election Day	1125	1	865	58	6.71	35	19	5	0
Pct 1125	VBM	1125	1	865	268	30.98	164	90	13	0
Pct 1126	Election Day	1126	1	804	92	11.44	62	27	2	1
Pct 1126	VBM	1126	1	804	224	27.86	146	72	6	0
Pct 1127	Election Day	1127	1	788	131	16.62	72	50	7	1
Pct 1127	VBM	1127	1	788	235	29.82	139	90	8	0
Pct 1128	Election Day	1128	1	732	99	13.52	53	38	7	0
Pct 1128	VBM	1128	1	732	215	29.37	123	80	11	0
Pct 1129	Election Day	1129	1	797	132	16.56	92	37	4	0
Pct 1129	VBM	1129	1	797	236	29.61	159	72	5	0
Pct 1131	Election Day	1131	1	715	67	9.37	49	12	6	0
Pct 1131	VBM	1131	1	715	245	34.27	130	106	8	0
Pct 1132	Election Day	1132	1	835	135	16.17	80	47	8	0
Pct 1132	VBM	1132	1	835	267	31.98	154	102	11	0
Pct 1133	Election Day	1133	1	768	82	10.68	37	40	5	0
Pct 1133	VBM	1133	1	768	274	35.68	152	110	10	0
Pct 1134	Election Day	1134	1	693	123	17.75	82	39	3	0
Pct 1134	VBM	1134	1	693	215	31.02	121	85	9	0
Pct 1135	Election Day	1135	1	454	59	13.00	38	19	1	0
Pct 1135	VBM	1135	1	454	180	39.65	99	73	8	0
Pct 1136	Election Day	1136	1	714	87	12.18	52	31	4	0
Pct 1136	VBM	1136	1	714	242	33.89	125	110	7	0
Pct 1141	Election Day	1141	1	868	125	14.40	86	36	3	0
Pct 1141	VBM	1141	1	868	314	36.18	208	94	12	0
Pct 1142	Election Day	1142	1	802	127	15.84	86	31	10	0
Pct 1142	VBM	1142	1	802	242	30.17	157	72	13	0
Pct 1143	Election Day	1143	1	849	166	19.55	136	23	7	0
Pct 1143	VBM	1143	1	849	270	31.80	184	82	6	0
Pct 1144	Election Day	1144	1	777	156	20.08	108	37	11	0
Pct 1144	VBM	1144	1	777	244	31.40	152	78	12	0
Pct 1145	Election Day	1145	1	810	169	20.86	105	49	15	0
Pct 1145	VBM	1145	1	810	313	38.64	201	95	20	0
Pct 1146	Election Day	1146	1	845	133	15.74	94	33	6	0
Pct 1146	VBM	1146	1	845	304	35.98	204	87	12	0
Pct 1147	Election Day	1147	1	780	167	21.41	111	48	10	0
Pct 1147	VBM	1147	1	780	237	30.38	149	77	10	1
Pct 1148	Election Day	1148	1	798	153	19.17	101	44	8	0
Pct 1148	VBM	1148	1	798	251	31.45	136	101	17	0
Pct 1149	Election Day	1149	1	806	159	19.73	114	38	7	0
Pct 1149	VBM	1149	1	806	265	32.88	157	94	14	0
Pct 1152	Election Day	1152	1	775	142	18.32	83	47	12	0
Pct 1152	VBM	1152	1	775	266	34.32	161	98	7	0
Pct 1153	Election Day	1153	1	799	156	19.52	97	55	4	0
Pct 1153	VBM	1153	1	799	263	32.92	173	80	11	0
Pct 7001	Election Day	7001	1	625	132	21.12	92	34	6	0
Pct 7001	VBM	7001	1	625	190	30.40	124	53	13	0
Pct 7002	Election Day	7002	1	820	155	18.90	111	36	8	0
Pct 7002	VBM	7002	1	820	253	30.85	158	87	9	0
Pct 7003	Election Day	7003	1	789	219	27.76	138	69	12	0
Pct 7003	VBM	7003	1	789	292	37.01	161	117	13	0
Pct 7004	Election Day	7004	1	786	204	25.95	126	69	8	1
Pct 7004	VBM	7004	1	786	256	32.57	156	83	17	0
Pct 7005	Election Day	7005	1	770	237	30.78	159	62	15	1
Pct 7005	VBM	7005	1	770	257	33.38	156	89	11	0
Pct 7006	Election Day	7006	1	824	227	27.55	154	60	12	0
Pct 7006	VBM	7006	1	824	238	28.88	160	70	9	0
Pct 7007	Election Day	7007	1	873	226	25.89	141	73	11	0
Pct 7007	VBM	7007	1	873	306	35.05	175	115	16	0
Pct 7008	Election Day	7008	1	784	247	31.51	165	67	14	0
Pct 7008	VBM	7008	1	784	294	37.50	176	106	13	0
Pct 7009	Election Day	7009	1	809	160	19.78	117	45	0	0
Pct 7009	VBM	7009	1	809	276	34.12	188	81	10	0
Pct 7011	Election Day	7011	1	905	150	16.57	114	28	7	1
Pct 7011	VBM	7011	1	905	165	18.23	115	47	3	0
