PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	Yes	No	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	485	97	20.00	43	43	11	0
Pct 1101	VBM	1101	1	485	169	34.85	80	89	2	0
Pct 1102	Election Day	1102	1	881	194	22.02	70	114	10	0
Pct 1102	VBM	1102	1	881	287	32.58	118	158	11	0
Pct 1103	Election Day	1103	1	844	166	19.67	62	92	11	0
Pct 1103	VBM	1103	1	844	299	35.43	134	142	21	0
Pct 1104/1105	Election Day	1104	1	838	161	19.21	63	85	14	0
Pct 1104/1105	VBM	1104	1	838	235	28.04	105	120	13	0
Pct 1106	Election Day	1106	1	696	116	16.67	45	68	3	0
Pct 1106	VBM	1106	1	696	216	31.03	95	109	13	0
Pct 1107	Election Day	1107	1	654	109	16.67	42	61	7	0
Pct 1107	VBM	1107	1	654	214	32.72	84	117	11	0
Pct 1108	Election Day	1108	1	830	155	18.67	54	84	20	0
Pct 1108	VBM	1108	1	830	278	33.49	114	147	19	0
Pct 1109	Election Day	1109	1	706	117	16.57	37	71	9	0
Pct 1109	VBM	1109	1	706	247	34.99	106	124	21	0
Pct 1111	Election Day	1111	1	860	118	13.72	45	67	6	0
Pct 1111	VBM	1111	1	860	263	30.58	138	107	19	0
Pct 1112	Election Day	1112	1	641	90	14.04	31	52	8	0
Pct 1112	VBM	1112	1	641	207	32.29	84	113	12	0
Pct 1113	Election Day	1113	1	625	73	11.68	29	39	4	0
Pct 1113	VBM	1113	1	625	235	37.60	122	99	13	0
Pct 1114	Election Day	1114	1	812	157	19.33	54	85	16	0
Pct 1114	VBM	1114	1	812	228	28.08	108	105	15	0
Pct 1115	Election Day	1115	1	766	101	13.19	44	50	7	0
Pct 1115	VBM	1115	1	766	255	33.29	103	138	14	0
Pct 1116	Election Day	1116	1	749	116	15.49	42	64	10	0
Pct 1116	VBM	1116	1	749	230	30.71	105	113	12	0
Pct 1117	Election Day	1117	1	732	120	16.39	62	52	6	0
Pct 1117	VBM	1117	1	732	213	29.10	79	115	18	1
Pct 1118	Election Day	1118	1	869	148	17.03	60	76	9	0
Pct 1118	VBM	1118	1	869	286	32.91	130	140	19	0
Pct 1119	Election Day	1119	1	684	109	15.94	40	64	7	0
Pct 1119	VBM	1119	1	684	218	31.87	99	112	8	0
Pct 1121	Election Day	1121	1	608	101	16.61	41	56	5	0
Pct 1121	VBM	1121	1	608	198	32.57	83	99	15	0
Pct 1122	Election Day	1122	1	541	70	12.94	26	40	4	0
Pct 1122	VBM	1122	1	541	169	31.24	75	82	14	0
Pct 1123	Election Day	1123	1	809	121	14.96	48	61	10	0
Pct 1123	VBM	1123	1	809	192	23.73	80	95	20	0
Pct 1124	Election Day	1124	1	684	115	16.81	43	63	9	0
Pct 1124	VBM	1124	1	684	159	23.25	60	93	6	0
Pct 1125	Election Day	1125	1	865	58	6.71	20	33	6	0
Pct 1125	VBM	1125	1	865	268	30.98	110	142	15	0
Pct 1126	Election Day	1126	1	804	92	11.44	37	51	4	0
Pct 1126	VBM	1126	1	804	224	27.86	112	110	2	0
Pct 1127	Election Day	1127	1	788	131	16.62	56	69	5	0
Pct 1127	VBM	1127	1	788	235	29.82	105	120	12	0
Pct 1128	Election Day	1128	1	732	99	13.52	39	50	9	0
Pct 1128	VBM	1128	1	732	215	29.37	114	83	17	0
Pct 1129	Election Day	1129	1	797	132	16.56	65	58	10	0
Pct 1129	VBM	1129	1	797	236	29.61	120	110	6	0
Pct 1131	Election Day	1131	1	715	67	9.37	34	30	3	0
Pct 1131	VBM	1131	1	715	245	34.27	107	121	16	0
Pct 1132	Election Day	1132	1	835	135	16.17	51	74	10	0
Pct 1132	VBM	1132	1	835	267	31.98	96	145	26	0
Pct 1133	Election Day	1133	1	768	82	10.68	33	39	10	0
Pct 1133	VBM	1133	1	768	274	35.68	106	154	12	0
Pct 1134	Election Day	1134	1	693	123	17.75	54	57	13	0
Pct 1134	VBM	1134	1	693	215	31.02	84	111	20	0
Pct 1135	Election Day	1135	1	454	59	13.00	26	30	2	0
Pct 1135	VBM	1135	1	454	180	39.65	61	102	17	0
Pct 1136	Election Day	1136	1	714	87	12.18	43	37	7	0
Pct 1136	VBM	1136	1	714	242	33.89	109	117	16	0
Pct 1141	Election Day	1141	1	868	125	14.40	44	71	10	0
Pct 1141	VBM	1141	1	868	314	36.18	132	173	9	0
Pct 1142	Election Day	1142	1	802	127	15.84	52	63	12	0
Pct 1142	VBM	1142	1	802	242	30.17	81	136	25	0
Pct 1143	Election Day	1143	1	849	166	19.55	54	108	4	0
Pct 1143	VBM	1143	1	849	270	31.80	116	141	15	0
Pct 1144	Election Day	1144	1	777	156	20.08	60	82	14	0
Pct 1144	VBM	1144	1	777	244	31.40	101	124	17	0
Pct 1145	Election Day	1145	1	810	169	20.86	51	103	15	0
Pct 1145	VBM	1145	1	810	313	38.64	116	178	22	0
Pct 1146	Election Day	1146	1	845	133	15.74	57	69	7	0
Pct 1146	VBM	1146	1	845	304	35.98	123	166	14	0
Pct 1147	Election Day	1147	1	780	167	21.41	61	98	10	0
Pct 1147	VBM	1147	1	780	237	30.38	103	121	13	0
Pct 1148	Election Day	1148	1	798	153	19.17	67	73	13	0
Pct 1148	VBM	1148	1	798	251	31.45	127	108	19	0
Pct 1149	Election Day	1149	1	806	159	19.73	69	78	12	0
